university,province,city,department,degree,website,tuition_dom,waiver_dom,tuition_int,waiver_int,guaranteed_funding,gross_stipend_dom,net_stipend_dom,gross_wage_dom,net_wage_dom,stipend_gra,stipend_gta,gta_hours,living_month,rent_month,rent_year,prop_stipend_rent,min_wage_nov22,prop_gross_wage_min_wage,prop_net_wage_min_wage,notes
Calgary,AB,Calgary,Biological Sciences,MSc,https://science.ucalgary.ca/biological-sciences/future-students/graduate/fees-and-funding,3533.28,no,8242.68,no,yes,25000,21466.72,14.84,12.74,yes,yes,,1302.12,1193.39,14320.68,1.5,15,0.99,0.85,NA
Calgary,AB,Calgary,Biological Sciences,PhD,https://science.ucalgary.ca/biological-sciences/future-students/graduate/fees-and-funding,3533.28,no,8242.68,no,yes,25000,21466.72,14.84,12.74,yes,yes,,1302.12,1193.39,14320.68,1.5,15,0.99,0.85,NA
Alberta,AB,Edmonton,Biology,MSc,https://www.ualberta.ca/biological-sciences/graduate-studies/for-applicants/program-funding.html,4486.2,no,8874,no,yes,25917,21430.8,15.38,12.72,yes,yes,,1276.09,1006.92,12083.039999999999,1.77,15,1.03,0.85,NA
Alberta,AB,Edmonton,Biology,PhD,https://www.ualberta.ca/biological-sciences/graduate-studies/for-applicants/program-funding.html,4486.2,no,8874,no,yes,25917,21430.8,15.38,12.72,yes,yes,,1276.09,1006.92,12083.039999999999,1.77,15,1.03,0.85,NA
Lethbridge,AB,Lethbridge,Biological Sciences,MSc,https://www.ulethbridge.ca/future-student/graduate-studies/master-science/environmental-science,6270.33,no,13531.650000000001,no,no,21000,14729.67,12.46,8.74,yes,yes,,1342.13,943.75,11325,1.3,15,0.83,0.58,funding is not guaranteed for this program; stipend is value of university graduate research award; tuition drops to ~$1900 ($4000 international) in second year
Lethbridge,AB,Lethbridge,Biological Sciences,PhD,https://www.ulethbridge.ca/future-student/graduate-studies/doctor-philosophy/biosystems-and-biodiversity,6129.36,no,13531.650000000001,no,no,21000,14870.64,12.46,8.83,yes,yes,,1342.13,943.75,11325,1.31,15,0.83,0.59,funding is not guaranteed for this program; stipend is value of university graduate research award; tuition drops to ~$1850 ($4000 international) in third year
Simon Fraser,BC,Burnaby,Biological Sciences,MSc,https://www.sfu.ca/biology/graduate/current/financial/funding-policy.html,6076.799999999999,no,6076.799999999999,no,yes,26000,19923.2,15.43,11.82,yes,yes,,1155.52,1960,23520,0.85,15.65,0.99,0.76,tuition amount quoted on departmental website includes ancillary fees; consulted fee schedule for base tuition
Simon Fraser,BC,Burnaby,Biological Sciences,PhD,https://www.sfu.ca/biology/graduate/current/financial/funding-policy.html,6076.799999999999,no,6076.799999999999,no,yes,26000,19923.2,15.43,11.82,yes,yes,,1155.52,1960,23520,0.85,15.65,0.99,0.76,"tuition amount quoted on departmental website includes ancillary fees; tuition drops to ~$3040 in fourth year (""continuing fee"")"
UBC-O,BC,Kelowna,Biology,MSc,https://biology.ok.ubc.ca/graduate/biology/,5301.54,no,9313.92,no,no,17500,12198.46,10.39,7.24,yes,yes,,1146.67,1456.57,17478.84,0.7,15.65,0.66,0.46,funding amounts are not guaranteed; stipend is value of graduate assistantship for which students may apply
UBC-O,BC,Kelowna,Biology,PhD,https://biology.ok.ubc.ca/graduate/biology/,5301.54,no,9313.92,no,no,21000,15698.46,12.46,9.32,yes,yes,,1146.67,1456.57,17478.84,0.9,15.65,0.8,0.6,funding amounts are not guaranteed; stipend is value of graduate assistantship for which students may apply
UNBC,BC,Prince George,Natural Resources & Environmental Studies,MSc,https://www2.unbc.ca/nres-graduate-program/msc,5353.35,no,7494.6900000000005,no,no,15000,9646.65,8.9,5.73,no,no,,1185.83,1050,12600,0.77,15.65,0.57,0.37,funding and teaching assistantships are not guaranteed; stipend is value of graduate entrance research award
UNBC,BC,Prince George,Natural Resources & Environmental Studies,PhD,https://www2.unbc.ca/nres-graduate-program/phd,5353.35,no,7494.6900000000005,no,no,15000,9646.65,8.9,5.73,no,no,,1185.83,1050,12600,0.77,15.65,0.57,0.37,funding and teaching assistantships are not guaranteed; stipend is value of graduate entrance research award
UBC,BC,Vancouver,Zoology,MSc,https://zoology.ubc.ca/graduate-program/student-finance-funding,5301.54,no,9313.92,no,yes,28000,22698.46,16.62,13.47,yes,yes,,1326.55,1993.33,23919.96,0.95,15.65,1.06,0.86,NA
UBC,BC,Vancouver,Zoology,PhD,https://zoology.ubc.ca/graduate-program/student-finance-funding,5301.54,yes,9313.92,yes,yes,28000,28000,16.62,16.62,yes,yes,,1326.55,1993.33,23919.96,1.17,15.65,1.06,1.06,all PhD students receive a Faculty of Science tuition award
Victoria,BC,Victoria,Biology,MSc,https://www.uvic.ca/science/biology/graduate/finances/index.php,6278.039999999999,no,7918.5,no,yes,22000,15721.960000000001,13.06,9.33,yes,yes,,1270.78,1609.08,19308.96,0.81,15.65,0.83,0.6,NA
Victoria,BC,Victoria,Biology,PhD,https://www.uvic.ca/science/biology/graduate/finances/index.php,6278.039999999999,no,7918.5,no,yes,22000,15721.960000000001,13.06,9.33,yes,yes,,1270.78,1609.08,19308.96,0.81,15.65,0.83,0.6,NA
Manitoba,MB,Winnipeg,Biology,MSc,https://umanitoba.ca/explore/programs-of-study/biological-sciences-phd#program-details,6287,no,13185.68,no,no,14000,7713,8.31,4.58,no,no,,1183.18,1107.09,13285.079999999998,0.58,13.5,0.62,0.34,does not appear to have guaranteed funding; stipend value is based on UM graduate fellowship amount; tuition drops to continuing fee ($538.20 per semester) in second year
Manitoba,MB,Winnipeg,Biology,PhD,https://umanitoba.ca/explore/programs-of-study/biological-sciences-phd#program-details,6287,no,6287,no,no,18000,11713,10.68,6.95,no,no,,1183.18,1107.09,13285.079999999998,0.88,13.5,0.79,0.51,does not appear to have guaranteed funding; stipend value is based on UM graduate fellowship amount; tuition drops to continuing fee ($538.20 per semester) in third year
